Kabupaten / Kota;Indeks Pembangunan Manusia (metode baru);;;;;;;;;;;;;;
;Usia Harapan Hidup saat Lahir (tahun);;;Harapan Lama Sekolah (tahun);;;Rata-rata Lama Sekolah (tahun);;;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);;;Indeks Pembangunan Manusia;;
;2020;2021;2022;2020;2021;2022;2020;2021;2022;2020;2021;2022;2020;2021;2022
PROVINSI JAWA TENGAH;74.37;74.47;74.57;12.70;12.77;12.81;7.69;7.75;7.93;10930.00;11034.00;11377.00;71.87;72.16;72.79
Kabupaten Cilacap;73.73;73.90;74.07;12.50;12.63;12.66;6.97;7.09;7.18;10440.00;10534.00;10904.00;69.95;70.42;70.99
Kabupaten Banyumas;73.72;73.80;73.88;12.85;13.03;13.21;7.52;7.63;7.78;11448.00;11546.00;11905.00;71.98;72.44;73.17
Kabupaten Purbalingga;73.14;73.21;73.28;11.99;12.00;12.01;7.24;7.25;7.33;9914.00;10032.00;10277.00;68.97;69.15;69.54
Kabupaten Banjarnegara;74.18;74.28;74.37;11.46;11.63;11.81;6.74;6.75;6.84;9263.00;9407.00;9776.00;67.45;67.86;68.61
Kabupaten Kebumen;73.40;73.55;73.70;13.34;13.35;13.36;7.54;7.55;7.85;8901.00;9028.00;9282.00;69.81;70.05;70.79
Kabupaten Purworejo;74.72;74.87;75.03;13.50;13.51;13.52;8.12;8.21;8.32;10163.00;10275.00;10671.00;72.68;72.98;73.60
Kabupaten Wonosobo;71.82;71.94;72.05;11.75;11.76;11.78;6.81;6.82;6.88;10621.00;10760.00;11108.00;68.22;68.43;68.89
Kabupaten Magelang;73.72;73.88;74.03;12.54;12.55;12.58;7.78;7.79;7.81;9301.00;9440.00;10011.00;69.87;70.12;70.85
Kabupaten Boyolali;75.95;76.03;76.12;12.56;12.57;12.62;7.84;7.85;8.08;12910.00;13031.00;13250.00;74.25;74.40;74.97
Kabupaten Klaten;76.78;76.86;76.95;13.25;13.39;13.40;8.58;8.81;9.09;11921.00;12017.00;12522.00;75.56;76.12;76.95
Kabupaten Sukoharjo;77.65;77.73;77.82;13.83;13.84;13.90;9.34;9.35;9.62;11325.00;11428.00;11841.00;76.98;77.13;77.94
Kabupaten Wonogiri;76.16;76.28;76.41;12.49;12.50;12.51;7.33;7.34;7.42;9286.00;9429.00;9780.00;70.25;70.49;71.04
Kabupaten Karanganyar;77.47;77.55;77.64;13.68;13.69;13.70;8.56;8.57;8.79;11428.00;11509.00;11798.00;75.86;75.99;76.58
Kabupaten Sragen;75.71;75.79;75.87;12.83;12.84;12.91;7.65;7.66;7.79;12589.00;12679.00;13052.00;73.95;74.08;74.65
Kabupaten Grobogan;74.75;74.84;74.93;12.30;12.44;12.45;6.91;7.11;7.26;10221.00;10294.00;10610.00;69.87;70.41;70.97
Kabupaten Blora;74.41;74.51;74.60;12.20;12.35;12.44;6.83;6.99;7.01;9571.00;9669.00;10067.00;68.84;69.37;69.95
Kabupaten Rembang;74.55;74.61;74.68;12.11;12.12;12.13;7.16;7.30;7.41;10328.00;10519.00;10937.00;70.02;70.43;71.00
Kabupaten Pati;76.22;76.27;76.32;12.65;12.94;12.95;7.44;7.48;7.79;10390.00;10506.00;10948.00;71.77;72.28;73.14
Kabupaten Kudus;76.60;76.68;76.76;13.23;13.24;13.25;8.75;8.76;9.06;11160.00;11272.00;11609.00;75.00;75.16;75.89
Kabupaten Jepara;75.84;75.91;75.97;12.75;12.76;12.77;7.68;7.79;8.09;10343.00;10536.00;10913.00;71.99;72.36;73.15
Kabupaten Demak;75.40;75.46;75.52;13.31;13.32;13.33;7.71;7.86;8.10;10128.00;10248.00;10698.00;72.22;72.57;73.36
Kabupaten Semarang;75.73;75.79;75.86;12.97;12.98;13.04;8.02;8.03;8.05;11966.00;12070.00;12448.00;74.10;74.24;74.67
Kabupaten Temanggung;75.58;75.64;75.70;12.14;12.32;12.55;7.24;7.25;7.41;9343.00;9408.00;9773.00;69.57;69.88;70.77
Kabupaten Kendal;74.43;74.48;74.53;12.95;12.96;12.97;7.45;7.46;7.71;11425.00;11608.00;11999.00;72.29;72.50;73.19
Kabupaten Batang;74.69;74.74;74.79;12.01;12.13;12.14;6.87;6.88;6.90;9431.00;9524.00;9972.00;68.65;68.92;69.45
Kabupaten Pekalongan;73.69;73.74;73.80;12.41;12.42;12.43;6.91;7.17;7.46;10312.00;10409.00;10707.00;69.63;70.11;70.81
Kabupaten Pemalang;73.40;73.53;73.65;11.95;11.96;11.98;6.42;6.45;6.50;8461.00;8573.00;8994.00;66.32;66.56;67.19
Kabupaten Tegal;71.60;71.72;71.85;12.67;12.89;12.91;6.98;6.99;7.25;9612.00;9700.00;10020.00;68.39;68.79;69.53
Kabupaten Brebes;69.33;69.54;69.74;12.04;12.05;12.15;6.21;6.22;6.35;10058.00;10152.00;10514.00;66.11;66.32;67.03
Kota Magelang;76.85;76.93;77.02;14.14;14.15;14.31;10.39;10.62;10.94;12210.00;12349.00;12816.00;78.99;79.43;80.39
Kota Surakarta;77.22;77.32;77.43;14.87;14.88;14.89;10.69;10.90;10.92;14761.00;14911.00;15463.00;82.21;82.62;83.08
Kota Salatiga;77.40;77.55;77.72;15.41;15.42;15.43;10.42;10.66;10.95;15699.00;15843.00;16351.00;83.14;83.60;84.35
Kota Semarang;77.34;77.51;77.69;15.52;15.53;15.54;10.53;10.78;10.80;15243.00;15425.00;16047.00;83.05;83.55;84.08
Kota Pekalongan;74.38;74.44;74.51;12.84;12.85;12.86;8.96;9.18;9.20;12467.00;12598.00;13158.00;74.98;75.40;75.90
Kota Tegal;74.46;74.54;74.64;13.05;13.07;13.08;8.51;8.73;9.00;12999.00;13143.00;13455.00;75.07;75.52;76.15
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Source Url: https://jateng.bps.go.id/indicator/26/83/1/indeks-pembangunan-manusia-metode-baru-.html;;;;;;;;;;;;;;;
Access Time: November 6, 2023, 9:00 am;;;;;;;;;;;;;;;
